"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","809","test_checkout_form_validation[firefox-missing_last_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","951","test_cancel_on_checkout_step_one_returns_to_cart[webkit]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","1472","test_reset_app_state_clears_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","1412","test_reset_app_state_clears_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","436","test_catalog_sorting[firefox-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","544","test_add_to_cart_and_verify_item[webkit]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","223","test_successful_login[chromium]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","449","test_catalog_sorting[firefox-name_a_to_z]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","417","test_catalog_sorting[firefox-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","250","test_login_negative[chromium-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","386","test_catalog_sorting[chromium-price_high_to_low]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","699","test_cancel_on_checkout_step_two_returns_to_inventory[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","1167","test_complete_checkout_flow[firefox]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","752","test_checkout_form_validation[webkit-missing_last_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","295","test_login_negative[chromium-locked_out]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","373","test_login_negative[webkit-locked_out]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","658","test_checkout_form_validation[webkit-missing_first_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","573","test_remove_item_from_cart[webkit]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","810","test_checkout_form_validation[firefox-missing_first_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","1311","test_logout_redirects_to_login_page[firefox]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","418","test_catalog_sorting[webkit-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","472","test_catalog_sorting[webkit-name_a_to_z]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","664","test_checkout_form_validation[chromium-missing_postal_code]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","393","test_catalog_sorting[chromium-name_z_to_a]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","673","test_checkout_form_validation[chromium-missing_first_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","501","test_remove_item_from_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","360","test_login_negative[firefox-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","507","test_add_to_cart_and_verify_item[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","371","test_catalog_sorting[chromium-name_a_to_z]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","303","test_catalog_sorting[webkit-price_high_to_low]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","447","test_catalog_sorting[chromium-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","698","test_cancel_on_checkout_step_one_returns_to_cart[chromium]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","398","test_login_negative[webkit-empty_password]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","1236","test_logout_redirects_to_login_page[chromium]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","323","test_login_negative[chromium-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","408","test_login_negative[webkit-empty_username]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","928","test_cancel_on_checkout_step_two_returns_to_inventory[webkit]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","1065","test_logout_redirects_to_login_page[webkit]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","404","test_catalog_sorting[firefox-price_high_to_low]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","368","test_login_negative[webkit-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","431","test_login_negative[firefox-invalid_credentials]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","485","test_catalog_sorting[webkit-price_low_to_high]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","329","test_login_negative[firefox-empty_username]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","290","test_login_negative[chromium-empty_username]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","982","test_complete_checkout_flow[webkit]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","333","test_successful_login[webkit]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","717","test_complete_checkout_flow[chromium]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","790","test_cancel_on_checkout_step_one_returns_to_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","564","test_checkout_form_validation[chromium-missing_last_name]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","1683","test_reset_app_state_clears_cart[webkit]","tests","2026-09-25","passed","2026-09-25","TestInventory","test_inventory","",""
"","860","test_cancel_on_checkout_step_two_returns_to_inventory[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","300","test_successful_login[firefox]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","405","test_login_negative[firefox-locked_out]","tests","2026-09-25","passed","2026-09-25","","test_login","",""
"","575","test_remove_item_from_cart[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","656","test_add_to_cart_and_verify_item[firefox]","tests","2026-09-25","passed","2026-09-25","TestCart","test_cart","",""
"","866","test_checkout_form_validation[webkit-missing_postal_code]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
"","754","test_checkout_form_validation[firefox-missing_postal_code]","tests","2026-09-25","passed","2026-09-25","TestCheckout","test_checkout","",""
